VARIABLE,VARIABLE_NAME,ITEM_DESCRIPTION,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,GEO_COVERAGE,SEASONALLY_ADJUSTED,SOURCE
harmonized_index_of_consumer_prices_miscellaneous_services_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Miscellaneous Services, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Miscellaneous Services,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_equipment_of_telephone_and_telefax_equipment_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Other Equipment Of Telephone And Telefax Equipment, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Other Equipment Of Telephone And Telefax Equipment,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_edible_animal_fats_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Other Edible Animal Fats, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Other Edible Animal Fats,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_energy_flash_estimate_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Energy Flash Estimate, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Energy Flash Estimate,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_mainly_administered_prices_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Mainly Administered Prices, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Mainly Administered Prices,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_administered_prices_excluding_energy_and_food_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Administered Prices Excluding Energy And Food, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Administered Prices Excluding Energy And Food,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_paramedical_services_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Paramedical Services, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Paramedical Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_bakery_products_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Other Bakery Products, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Other Bakery Products,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_major_durables_for_inoutdoor_recreation_incl_musical_instr_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Major Durables For In/Outdoor Recreation Incl. Musical Instr., Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Major Durables For In/Outdoor Recreation Incl. Musical Instr.,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_tyres_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Tyres, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Tyres,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_energy_and_unprocessed_food_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Energy And Unprocessed Food, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Energy And Unprocessed Food,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_other_nondurable_small_household_articles_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Other Non-Durable Small Household Articles, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Other Non-Durable Small Household Articles,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_household_appliances_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Household Appliances, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Household Appliances,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_restaurants_cafes_and_the_like_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Restaurants, Cafes And The Like, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points","Restaurants, Cafes And The Like",Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
"estimates_of_the_overundervaluation_of_residential_property_prices_minimum_valuation_measures_for_all_types_of_property_poor_and_good_conditions_residential_property_prices,_new_and_existing_dwellings","Estimates of the over/undervaluation of residential property prices: Minimum valuation measures for all types of property (poor and good conditions) (Residential property prices, New and existing dwellings)",,"Residential property prices, New and existing dwellings",Percent,Quarterly,Minimum valuation measures for all types of property (poor and good conditions),Whole country,,European Central Bank (ECB)
harmonized_index_of_consumer_prices_repair_leasing_and_rental_of_major_tools_and_equipment_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Repair, Leasing And Rental Of Major Tools And Equipment, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","Repair, Leasing And Rental Of Major Tools And Equipment",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_diesel_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Diesel, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Diesel,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_fixed_telephone_equipment_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Fixed Telephone Equipment, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Fixed Telephone Equipment,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_allitems_excluding_housing_water_elect_gas_and_other_fuels_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - All-Items Excluding Housing, Water, Elect., Gas And Other Fuels, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","All-Items Excluding Housing, Water, Elect., Gas And Other Fuels",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_equipment_for_sport_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Equipment For Sport, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Equipment For Sport,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_books_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2005=100,"Harmonized Index Of Consumer Prices - Books, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2005=100",Books,Harmonized Index Of Consumer Prices,"Index, 2005=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_wine_from_grapes_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Wine From Grapes, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Wine From Grapes,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_recreational_and_sporting_services_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Recreational And Sporting Services, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Recreational And Sporting Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_nonfiction_books_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Other Non-Fiction Books, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Other Non-Fiction Books,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_overall_index_monthly_rate_of_change_european_central_bank_working_day_and_seasonally_adjusted_index_2005=100,"Harmonized Index Of Consumer Prices - Overall Index, Monthly Rate Of Change, European Central Bank, Working Day And Seasonally Adjusted, Index, 2005=100",Overall Index,Harmonized Index Of Consumer Prices,"Index, 2005=100",Monthly,Monthly rate of change (Average of observations through period),,Working day and seasonally adjusted,Deutsche Bundesbank (Germany)
harmonized_index_of_consumer_prices_pizza_and_quiche_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Pizza And Quiche, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Pizza And Quiche,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_spirits_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Spirits, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Spirits,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
