VARIABLE,VARIABLE_NAME,SEASONALLY_ADJUSTED,FREQUENCY,UNIT,REPORT,MEASURE,INDUSTRY,ESTABLISHMENT_SIZE
"State_and_Metro_Employment:_All_Employees,_Trade,_Transportation,_and_Utilities,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Trade, Transportation, and Utilities, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Trade, Transportation, and Utilities",
"State_and_Metro_Employment:_All_Employees,_Financial_Activities:_Finance_and_Insurance,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Financial Activities: Finance and Insurance, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Financial Activities: Finance and Insurance,
"State_and_Metro_Employment:_Production_or_Nonsupervisory_Employees,_Leisure_and_Hospitality:_Accommodation_and_Food_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Production or Nonsupervisory Employees, Leisure and Hospitality: Accommodation and Food Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,Production or Nonsupervisory Employees,Leisure and Hospitality: Accommodation and Food Services,
"State_and_Metro_Employment:_All_Employees,_Financial_Activities:_Insurance_Carriers_and_Related_Activities,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Financial Activities: Insurance Carriers and Related Activities, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Financial Activities: Insurance Carriers and Related Activities,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Foundries,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Durable Goods: Foundries, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Durable Goods: Foundries,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_All_Employees,_Other_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of All Employees, Other Services, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of All Employees,Other Services,
"State_and_Metro_Employment:_All_Employees,_Non-Durable_Goods:_Plastics_Product_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Non-Durable Goods: Plastics Product Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Non-Durable Goods: Plastics Product Manufacturing,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Information,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of Production Employees, Information, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Information,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Professional_and_Business_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of Production Employees, Professional and Business Services, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Professional and Business Services,
"State_and_Metro_Employment:_All_Employees,_Non-Durable_Goods:_Pulp,_Paper,_and_Paperboard_Mills,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Non-Durable Goods: Pulp, Paper, and Paperboard Mills, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Non-Durable Goods: Pulp, Paper, and Paperboard Mills",
"State_and_Metro_Employment:_Average_Weekly_Hours_of_All_Employees,_Financial_Activities,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of All Employees, Financial Activities, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of All Employees,Financial Activities,
"JOLTS:_Total_separations,_Total_nonfarm,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, Total nonfarm, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Total separations,Total nonfarm,All size classes
"JOLTS:_Layoffs_and_discharges,_Government,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Layoffs and discharges, Government, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Layoffs and discharges,Government,All size classes
"JOLTS:_Hires,_Arts,_entertainment,_and_recreation,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Hires, Arts, entertainment, and recreation, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Hires,"Arts, entertainment, and recreation",All size classes
"JOLTS:_Total_separations,_Mining_and_logging,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, Mining and logging, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Total separations,Mining and logging,All size classes
"JOLTS:_Hires,_Total_private,_50_to_249_employees,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Hires, Total private, 50 to 249 employees, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Hires,Total private,50 to 249 employees
"JOLTS:_Hires,_Manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Manufacturing, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Hires,Manufacturing,All size classes
"JOLTS:_Layoffs_and_discharges,_Total_private,_5,000_or_more_employees,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, Total private, 5,000 or more employees, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Layoffs and discharges,Total private,"5,000 or more employees"
"JOLTS:_Quits,_Nondurable_goods_manufacturing,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Nondurable goods manufacturing, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Quits,Nondurable goods manufacturing,All size classes
"JOLTS:_Other_separations,_Total_private,_50_to_249_employees,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Total private, 50 to 249 employees, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Other separations,Total private,50 to 249 employees
"JOLTS:_Total_separations,_Leisure_and_hospitality,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Total separations, Leisure and hospitality, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Total separations,Leisure and hospitality,All size classes
"JOLTS:_Hires,_State_and_local_government,_excluding_education,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Hires, State and local government, excluding education, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Hires,"State and local government, excluding education",All size classes
"JOLTS:_Other_separations,_Total_private,_1_to_9_employees,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, Total private, 1 to 9 employees, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Other separations,Total private,1 to 9 employees
"JOLTS:_Layoffs_and_discharges,_Other_services,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Layoffs and discharges, Other services, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Layoffs and discharges,Other services,All size classes
"JOLTS:_Job_openings,_Mining_and_logging,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Job openings, Mining and logging, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Job openings,Mining and logging,All size classes
"State_and_Metro_Employment:_All_Employees,_Mining_and_Logging:_Support_Activities_for_Mining,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Mining and Logging: Support Activities for Mining, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Mining and Logging: Support Activities for Mining,
"State_and_Metro_Employment:_All_Employees,_Retail_Trade:_Grocery_Stores,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Retail Trade: Grocery Stores, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Retail Trade: Grocery Stores,
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Education and Health Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Education and Health Services,
"State_and_Metro_Employment:_All_Employees,_Leisure_and_Hospitality,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Leisure and Hospitality, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Leisure and Hospitality,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Construction:_Specialty_Trade_Contractors,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Earnings of Production Employees, Construction: Specialty Trade Contractors, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Construction: Specialty Trade Contractors,
"State_and_Metro_Employment:_All_Employees,_Government:_State_Government_Hospitals,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Government: State Government Hospitals, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Government: State Government Hospitals,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_All_Employees,_Leisure_and_Hospitality,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of All Employees, Leisure and Hospitality, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of All Employees,Leisure and Hospitality,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Wholesale_Trade:_Merchant_Wholesalers,_Durable_Goods,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of Production Employees, Wholesale Trade: Merchant Wholesalers, Durable Goods, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,"Wholesale Trade: Merchant Wholesalers, Durable Goods",
"State_and_Metro_Employment:_All_Employees,_Construction:_Specialty_Trade_Contractors,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Construction: Specialty Trade Contractors, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Construction: Specialty Trade Contractors,
"State_and_Metro_Employment:_All_Employees,_Government:_Local_Government,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Government: Local Government, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Government: Local Government,
"State_and_Metro_Employment:_All_Employees,_Wholesale_Trade:_Professional_and_Commercial_Equipment_and_Supplies_Merchant_Wholesalers,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Wholesale Trade: Professional and Commercial Equipment and Supplies Merchant Wholesalers, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Wholesale Trade: Professional and Commercial Equipment and Supplies Merchant Wholesalers,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Semiconductor_and_Other_Electronic_Component_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Durable Goods: Semiconductor and Other Electronic Component Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Durable Goods: Semiconductor and Other Electronic Component Manufacturing,
"State_and_Metro_Employment:_Production_or_Nonsupervisory_Employees,_Retail_Trade:_Food_and_Beverage_Stores,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Production or Nonsupervisory Employees, Retail Trade: Food and Beverage Stores, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,Production or Nonsupervisory Employees,Retail Trade: Food and Beverage Stores,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_All_Employees,_Construction,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of All Employees, Construction, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of All Employees,Construction,
"State_and_Metro_Employment:_Diffusion_Index,_12-month_span,_Seasonally_adjusted,_Total_nonfarm,_All_Metropolitan_Statistical_Areas","State and Metro Employment: Diffusion Index, 12-month span, Seasonally adjusted, Total nonfarm, All Metropolitan Statistical Areas",true,Monthly,Diffusion Index,State and Metro Employment,"Diffusion Index, 12-month span, Seasonally adjusted, Total nonfarm",Total Nonfarm,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_All_Employees,_Information,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Hours of All Employees, Information, Not seasonally adjusted, Monthly",false,Monthly,Hours,State and Metro Employment,Average Weekly Hours of All Employees,Information,
